id,title,release_date,genres,year
17015,Persuasion,9/27/1995,"['Drama', 'Romance']",1995
902,The City of Lost Children,5/16/1995,"['Fantasy', 'Science Fiction', 'Adventure']",1995
37557,Shanghai Triad,4/30/1995,"['Drama', 'Crime']",1995
9909,Dangerous Minds,8/11/1995,"['Drama', 'Crime']",1995
63,Twelve Monkeys,12/29/1995,"['Science Fiction', 'Thriller', 'Mystery']",1995
78802,Wings of Courage,9/18/1996,"['Romance', 'Adventure']",1996
9598,Babe,7/18/1995,"['Fantasy', 'Drama', 'Comedy', 'Family']",1995
47018,Carrington,11/8/1995,"['History', 'Drama', 'Romance']",1995
687,Dead Man Walking,12/29/1995,['Drama'],1995
139405,Across the Sea of Time,10/20/1995,"['Adventure', 'History', 'Drama', 'Family']",1995
33689,It Takes Two,11/17/1995,"['Comedy', 'Family', 'Romance']",1995
9603,Clueless,7/19/1995,"['Comedy', 'Drama', 'Romance']",1995
34615,"Cry, the Beloved Country",12/15/1995,['Drama'],1995
31174,Richard III,12/29/1995,"['Drama', 'War']",1995
11443,Dead Presidents,10/6/1995,"['Action', 'Crime', 'Drama', 'History']",1995
35196,Restoration,12/29/1995,"['Drama', 'Romance']",1995
9312,Mortal Kombat,8/18/1995,"['Action', 'Fantasy']",1995
577,To Die For,5/20/1995,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",1995
11861,How To Make An American Quilt,10/6/1995,"['Drama', 'Romance']",1995
807,Se7en,9/22/1995,"['Crime', 'Mystery', 'Thriller']",1995
10530,Pocahontas,6/14/1995,"['Adventure', 'Animation', 'Drama', 'Family']",1995
8391,When Night Is Falling,5/5/1995,"['Drama', 'Romance']",1995
629,The Usual Suspects,7/19/1995,"['Drama', 'Crime', 'Thriller']",1995
117164,Guardian Angel,11/22/1994,"['Action', 'Thriller', 'Drama']",1994
11448,Mighty Aphrodite,9/13/1995,"['Comedy', 'Romance']",1995
49133,Lamerica,1/1/1994,"['Drama', 'Foreign']",1994
26441,The Big Green,9/29/1995,"['Action', 'Adventure', 'Comedy', 'Family']",1995
97406,Georgia,5/19/1995,['Drama'],1995
124057,Kids of the Round Table,7/8/1997,[],1997
9089,Home for the Holidays,11/2/1995,"['Comedy', 'Drama', 'Romance']",1995
11010,The Postman,9/22/1994,"['Comedy', 'Drama', 'Romance']",1994
99040,The Confessional,9/29/1995,"['Thriller', 'Drama', 'Mystery']",1995
11359,The Indian in the Cupboard,7/14/1995,"['Adventure', 'Family', 'Fantasy']",1995
17182,Eye for an Eye,1/12/1996,"['Drama', 'Thriller']",1996
2054,Mr. Holland's Opus,12/29/1995,"['Music', 'Drama', 'Family']",1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1/12/1996,['Comedy'],1996
19760,Two If by Sea,1/12/1996,"['Comedy', 'Romance']",1996
9536,Bio-Dome,1/12/1996,['Comedy'],1996
11525,Lawnmower Man 2: Beyond Cyberspace,1/12/1996,"['Action', 'Science Fiction']",1996
40628,Two Bits,10/22/1995,"['Drama', 'Family']",1995
4482,French Twist,2/8/1995,"['Comedy', 'Romance']",1995
10634,Friday,4/26/1995,['Comedy'],1995
755,From Dusk Till Dawn,1/19/1996,"['Horror', 'Action', 'Thriller', 'Crime']",1996
11859,Fair Game,11/3/1995,"['Action', 'Thriller', 'Romance']",1995
28387,Kicking and Screaming,10/6/1995,"['Comedy', 'Drama', 'Romance']",1995
48750,Les Miserables,3/22/1995,"['Drama', 'History']",1995
20927,Bed of Roses,1/26/1996,"['Drama', 'Romance']",1996
36929,Big Bully,1/26/1996,"['Comedy', 'Family']",1996
9102,Screamers,9/8/1995,"['Horror', 'Science Fiction']",1995
124626,Nico Icon,2/18/1995,['Documentary'],1995
27526,The Crossing Guard,11/15/1995,"['Drama', 'Thriller']",1995
9623,The Juror,2/2/1996,"['Drama', 'Thriller']",1996
46785,The White Balloon,1/1/1995,"['Family', 'Drama']",1995
400,Things to Do in Denver When You're Dead,12/1/1995,"['Drama', 'Crime']",1995
880,Antonia's Line,9/12/1995,"['Drama', 'Comedy']",1995
146599,Once Upon a Time... When We Were Colored,1/26/1996,"['Romance', 'Drama']",1996
188588,Last Summer in the Hamptons,11/22/1995,[],1995
8447,Angels and Insects,9/10/1995,"['Drama', 'Romance']",1995
10534,White Squall,2/2/1996,"['Action', 'Drama']",1996
17414,Dunston Checks In,1/12/1996,"['Adventure', 'Comedy', 'Family']",1996
13997,Black Sheep,2/1/1996,['Comedy'],1996
2086,Nick of Time,11/22/1995,"['Crime', 'Drama', 'Thriller']",1995
61548,The Journey of August King,9/14/1995,['Drama'],1995
9095,Mary Reilly,2/23/1996,"['Drama', 'Horror', 'Thriller', 'Romance']",1996
12158,Vampire in Brooklyn,10/26/1995,"['Comedy', 'Horror', 'Romance']",1995
9283,Beautiful Girls,2/9/1996,"['Comedy', 'Drama', 'Romance']",1996
9208,Broken Arrow,2/9/1996,"['Action', 'Adventure', 'Drama', 'Thriller']",1996
40154,A Midwinter's Tale,12/1/1995,['Comedy'],1995
406,La Haine,5/31/1995,['Drama'],1995
45549,Shopping,12/6/1994,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",1994
63076,Heidi Fleiss: Hollywood Madam,12/27/1995,['Documentary'],1995
11062,City Hall,2/16/1996,"['Drama', 'Thriller']",1996
13685,Bottle Rocket,2/21/1996,"['Comedy', 'Crime', 'Drama']",1996
47475,Mr. Wrong,2/16/1996,"['Comedy', 'Romance']",1996
2045,Unforgettable,2/23/1996,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",1996
9614,Happy Gilmore,2/16/1996,['Comedy'],1996
688,The Bridges of Madison County,5/28/1995,"['Drama', 'Romance']",1995
11907,Nobody Loves Me,11/7/1994,"['Drama', 'Comedy', 'Family']",1994
10874,Muppet Treasure Island,2/16/1996,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",1996
89333,Catwalk,12/8/1995,['Documentary'],1995
96357,Headless Body in Topless Bar,5/20/1995,['Crime'],1995
197,Braveheart,5/24/1995,"['Action', 'Drama', 'History', 'War']",1995
103,Taxi Driver,2/7/1976,"['Crime', 'Drama']",1976
33542,Rumble in the Bronx,1/30/1995,"['Crime', 'Action', 'Comedy', 'Thriller']",1995
43566,Before and After,2/23/1996,"['Drama', 'Thriller']",1996
71754,Margaret's Museum,9/13/1995,['Drama'],1995
43612,Happiness Is in the Field,1/31/1995,['Comedy'],1995
51352,Anne Frank Remembered,6/8/1995,"['Documentary', 'Drama', 'Foreign']",1995
16934,The Young Poisoner's Handbook,1/20/1995,"['Comedy', 'Crime', 'Drama']",1995
10324,If Lucy Fell,3/8/1996,"['Comedy', 'Romance']",1996
78406,Steal Big Steal Little,9/29/1995,"['Comedy', 'Drama']",1995
55731,Race the Sun,3/22/1996,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",1996
32119,The Boys of St. Vincent,12/6/1992,['Drama'],1992
11066,Boomerang,6/30/1992,"['Comedy', 'Romance']",1992
11104,Chungking Express,7/14/1994,"['Drama', 'Comedy', 'Romance']",1994
37975,The Star Maker,9/21/1995,"['Drama', 'Romance']",1995
2074,Flirting with Disaster,3/22/1996,"['Comedy', 'Romance']",1996
27793,The Neverending Story III: Escape from Fantasia,10/26/1994,['Fantasy'],1994
44284,The Silences of the Palace,9/30/1994,['Drama'],1994
290157,Jupiter's Wife,1/1/1995,[],1995
110972,Pie in the Sky,2/9/1996,"['Comedy', 'Romance']",1996
32622,Angela,1/1/1995,"['Comedy', 'Drama']",1995
73067,Frankie Starlight,11/22/1995,"['Drama', 'Romance', 'War']",1995
11863,Jade,10/13/1995,"['Action', 'Thriller', 'Mystery', 'Romance']",1995
55475,Nueba Yol,8/16/1995,"['Comedy', 'Drama', 'Romance']",1995
124636,Sonic Outlaws,8/1/1995,"['Music', 'Documentary']",1995
9101,Down Periscope,3/1/1996,['Comedy'],1996
123360,From the Journals of Jean Seberg,9/8/1995,['Documentary'],1995
5757,Man of the Year,9/15/1995,['Comedy'],1995
39428,The Neon Bible,8/23/1995,['Drama'],1995
124639,Target,8/1/1995,[],1995
9302,Up Close & Personal,3/1/1996,"['Drama', 'Romance']",1996
11000,The Birdcage,3/8/1996,['Comedy'],1996
249882,Virgin Mary,10/12/1995,['Drama'],1995
16388,The Brothers McMullen,8/9/1995,"['Comedy', 'Drama', 'Romance']",1995
9737,Bad Boys,4/7/1995,"['Action', 'Comedy', 'Crime', 'Thriller']",1995
30765,The Amazing Panda Adventure,8/25/1995,"['Action', 'Adventure', 'Drama', 'Family']",1995
10474,The Basketball Diaries,4/21/1995,"['Drama', 'Crime']",1995
22279,An Awfully Big Adventure,7/21/1995,"['Romance', 'Drama', 'Comedy']",1995
30157,Amateur,8/5/1994,"['Crime', 'Comedy', 'Drama', 'Thriller']",1994
568,Apollo 13,6/30/1995,['Drama'],1995
11780,Rob Roy,4/13/1995,['Adventure'],1995
34996,The Addiction,1/10/1995,"['Drama', 'Horror']",1995
414,Batman Forever,6/16/1995,"['Action', 'Crime', 'Fantasy']",1995
649,Belle de Jour,5/24/1967,"['Drama', 'Romance']",1967
1873,Beyond Rangoon,5/24/1995,"['Drama', 'Thriller']",1995
5894,Blue in the Face,9/15/1995,['Comedy'],1995
1775,Canadian Bacon,6/8/1995,"['Action', 'Comedy']",1995
8839,Casper,5/26/1995,"['Fantasy', 'Comedy', 'Family']",1995
20649,Clockers,9/15/1995,"['Mystery', 'Crime', 'Drama']",1995
10329,Congo,6/9/1995,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",1995
8963,Crimson Tide,5/12/1995,"['Action', 'Thriller', 'Drama']",1995
26564,Crumb,9/10/1994,['Documentary'],1994
8068,Desperado,8/25/1995,"['Thriller', 'Action', 'Crime']",1995
8512,Devil in a Blue Dress,9/15/1995,"['Drama', 'Mystery', 'Thriller']",1995
1572,Die Hard: With a Vengeance,5/19/1995,"['Action', 'Thriller']",1995
13552,The Doom Generation,10/27/1995,"['Action', 'Comedy', 'Crime', 'Drama']",1995
259209,Feast of July,10/12/1995,"['Drama', 'Crime']",1995
6520,First Knight,7/7/1995,"['Action', 'Adventure', 'Drama', 'Romance']",1995
9073,Free Willy 2 - The Adventure Home,7/19/1995,['Adventure'],1995
10428,Hackers,9/14/1995,"['Action', 'Crime', 'Thriller', 'Drama']",1995
17447,Jeffrey,8/18/1995,"['Comedy', 'Drama', 'Romance']",1995
9886,Johnny Mnemonic,5/26/1995,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",1995
9482,Judge Dredd,6/30/1995,['Science Fiction'],1995
19326,Jury Duty,4/12/1995,"['Comedy', 'Drama']",1995
9344,Kids,7/28/1995,"['Drama', 'Crime']",1995
9071,Living in Oblivion,1/20/1995,"['Drama', 'Comedy']",1995
8973,Lord of Illusions,8/25/1995,"['Mystery', 'Horror', 'Thriller']",1995
15730,Love & Human Remains,5/20/1993,"['Comedy', 'Drama']",1993
47608,Mad Love,5/26/1995,"['Drama', 'Family', 'Romance']",1995
2293,Mallrats,10/20/1995,"['Romance', 'Comedy']",1995
9070,Mighty Morphin Power Rangers: The Movie,6/30/1995,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",1995
68274,Moonlight and Valentino,9/29/1995,"['Comedy', 'Drama', 'Romance']",1995
48787,Mute Witness,9/28/1995,"['Thriller', 'Foreign']",1995
34574,Nadja,9/13/1994,"['Horror', 'Thriller']",1994
1642,The Net,7/28/1995,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",1995
11472,Nine Months,7/12/1995,['Comedy'],1995
36196,Party Girl,6/9/1995,['Comedy'],1995
11980,The Prophecy,9/1/1995,"['Fantasy', 'Horror', 'Thriller']",1995
58372,Reckless,11/17/1995,"['Fantasy', 'Comedy', 'Drama']",1995
32646,Safe,6/23/1995,['Drama'],1995
10533,The Scarlet Letter,10/13/1995,"['Drama', 'History', 'Romance']",1995
56088,The Show,8/25/1995,['Documentary'],1995
10802,Showgirls,9/22/1995,['Drama'],1995
10149,Smoke,6/9/1995,"['Comedy', 'Drama']",1995
18402,Something to Talk About,8/4/1995,['Comedy'],1995
9348,Species,7/7/1995,"['Science Fiction', 'Horror', 'Action']",1995
139408,The Stars Fell on Henrietta,9/15/1995,['Drama'],1995
281,Strange Days,10/13/1995,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",1995
5967,The Umbrellas of Cherbourg,2/19/1964,"['Drama', 'Romance']",1964
79593,The Tie That Binds,9/8/1995,['Thriller'],1995
47939,Three Wishes,10/27/1995,"['Drama', 'Fantasy']",1995
36834,Total Eclipse,11/2/1995,"['Drama', 'Romance']",1995
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",9/7/1995,['Comedy'],1995
3512,Under Siege 2: Dark Territory,7/13/1995,"['Action', 'Thriller']",1995
52856,Unstrung Heroes,9/15/1995,"['Comedy', 'Drama', 'Family']",1995
77350,Unzipped,8/11/1995,['Documentary'],1995
9560,A Walk in the Clouds,8/11/1995,"['Drama', 'Romance']",1995
9804,Waterworld,7/28/1995,"['Adventure', 'Action']",1995
31611,White Man's Burden,12/1/1995,['Drama'],1995
65796,Wild Bill,12/1/1995,"['Action', 'Western']",1995
49805,The Browning Version,10/12/1994,['Drama'],1994
26258,Bushwhacked,8/4/1995,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",1995
50797,Burnt by the Sun,5/1/1994,['Drama'],1994
19155,Before the Rain,6/9/1994,"['Drama', 'War']",1994
76,Before Sunrise,1/27/1995,"['Drama', 'Romance']",1995
11017,Billy Madison,2/10/1995,['Comedy'],1995
37141,The Babysitter,10/17/1995,"['Drama', 'Thriller']",1995
9382,Boys on the Side,2/3/1995,"['Comedy', 'Drama']",1995
6715,The Cure,4/21/1995,"['Drama', 'Family']",1995
18256,Castle Freak,8/4/1995,"['Thriller', 'Drama', 'Horror', 'Mystery']",1995
22625,Circle of Friends,3/16/1995,"['Drama', 'Family', 'Romance']",1995
2292,Clerks,9/13/1994,['Comedy'],1994
1909,Don Juan DeMarco,10/1/1994,"['Romance', 'Drama', 'Comedy']",1994
8984,Disclosure,12/9/1994,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",1994
61813,Dream Man,1/1/1995,['Thriller'],1995
4954,Drop Zone,12/8/1994,"['Action', 'Adventure', 'Thriller']",1994
62488,Destiny Turns on the Radio,4/28/1995,"['Crime', 'Comedy', 'Fantasy']",1995
10531,Death and the Maiden,5/4/1994,"['Drama', 'Thriller', 'Mystery']",1994
11929,Dolores Claiborne,3/24/1995,"['Crime', 'Drama', 'Mystery']",1995
8467,Dumb and Dumber,12/16/1994,['Comedy'],1994
10451,Eat Drink Man Woman,8/3/1994,"['Comedy', 'Drama', 'Romance']",1994
20156,Exotica,9/24/1994,"['Drama', 'Mystery']",1994
18395,Exit to Eden,10/14/1994,"['Thriller', 'Comedy', 'Crime', 'Romance']",1994
522,Ed Wood,9/27/1994,"['Comedy', 'Drama', 'History']",1994
397,French Kiss,5/5/1995,"['Comedy', 'Romance']",1995
10525,Forget Paris,5/19/1995,"['Comedy', 'Drama', 'Romance']",1995
27985,Far from Home: The Adventures of Yellow Dog,1/13/1995,"['Action', 'Adventure', 'Drama', 'Family']",1995
15789,A Goofy Movie,4/7/1995,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",1995
27303,Hideaway,3/3/1995,"['Drama', 'Thriller']",1995
21183,Fluke,6/2/1995,"['Drama', 'Family', 'Fantasy']",1995
10954,Farinelli,12/7/1994,"['History', 'Drama']",1994
47867,Gordy,5/12/1995,"['Drama', 'Family', 'Fantasy']",1995
43475,Gumby: The Movie,12/1/1995,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",1995
72031,The Glass Shield,9/16/1994,"['Drama', 'Action', 'Thriller', 'Crime']",1994
14275,Hoop Dreams,9/12/1994,['Documentary'],1994
1024,Heavenly Creatures,9/2/1994,"['Drama', 'Fantasy']",1994
17207,Houseguest,1/6/1995,"['Comedy', 'Family']",1995
13701,Immortal Beloved,12/16/1994,"['Drama', 'Music', 'Romance']",1994
14819,Heavyweights,2/17/1995,"['Comedy', 'Family', 'Drama']",1995
32631,The Hunted,2/24/1995,"['Action', 'Thriller']",1995
11777,I.Q.,12/24/1994,"['Comedy', 'Drama', 'Romance']",1994
628,Interview with the Vampire,11/11/1994,"['Horror', 'Romance']",1994
87729,Jefferson in Paris,3/31/1995,"['Drama', 'Romance']",1995
18713,The Jerky Boys,2/3/1995,"['Comedy', 'Crime']",1995
6280,Junior,11/22/1994,"['Comedy', 'Family', 'Romance']",1994
9061,Just Cause,2/17/1995,"['Action', 'Drama', 'Mystery', 'Thriller']",1995
37108,A Kid in King Arthur's Court,8/11/1995,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",1995
6071,Kiss of Death,4/21/1995,"['Action', 'Crime', 'Drama', 'Thriller']",1995
11,Star Wars,5/25/1977,"['Adventure', 'Action', 'Science Fiction']",1977
9587,Little Women,12/21/1994,"['Drama', 'Romance']",1994
19101,A Little Princess,5/10/1995,"['Drama', 'Family', 'Fantasy']",1995
49980,Ladybird Ladybird,2/18/1994,['Drama'],1994
17961,L'Enfer,2/16/1994,"['Crime', 'Drama']",1994
18183,Like Water for Chocolate,4/16/1992,"['Drama', 'Romance']",1992
4476,Legends of the Fall,12/16/1994,"['Adventure', 'Drama', 'Romance', 'War']",1994
11008,Major Payne,3/24/1995,"['Adventure', 'Comedy', 'Family']",1995
47504,Little Odessa,10/27/1994,"['Action', 'Drama']",1994
32325,Mi Vida Loca,6/8/1994,"['Crime', 'Drama']",1994
43742,Love Affair,10/21/1994,"['Drama', 'Romance']",1994
28313,Losing Isaiah,3/17/1995,['Drama'],1995
11318,The Madness of King George,12/28/1994,"['Comedy', 'Drama', 'History']",1994
3036,Mary Shelley's Frankenstein,11/4/1994,"['Drama', 'Horror', 'Science Fiction', 'Romance']",1994
40490,Man of the House,3/3/1995,"['Action', 'Comedy', 'Family']",1995
24070,Mixed Nuts,12/21/1994,"['Comedy', 'Drama', 'Romance']",1994
8986,Milk Money,8/31/1994,"['Comedy', 'Romance']",1994
10510,Miracle on 34th Street,11/18/1994,"['Fantasy', 'Drama', 'Family']",1994
17402,Miami Rhapsody,1/27/1995,"['Comedy', 'Romance']",1995
38722,My Family,5/3/1995,"['Comedy', 'Drama']",1995
8438,Murder in the First,1/20/1995,"['Crime', 'Drama']",1995
11593,Nobody's Fool,12/23/1994,"['Drama', 'Comedy']",1994
1945,Nell,12/23/1994,"['Drama', 'Thriller']",1994
39310,New Jersey Drive,4/19/1995,"['Crime', 'Drama']",1995
109560,New York Cop,8/14/1993,"['Action', 'Thriller', 'Crime', 'Drama']",1993
56428,Beyond Bedlam,4/22/1994,['Horror'],1994
63105,Nemesis 2 - Nebula,9/26/1995,"['Science Fiction', 'Action', 'Thriller']",1995
131957,Nina Takes a Lover,3/3/1995,"['Drama', 'Romance']",1995
241,Natural Born Killers,8/25/1994,"['Crime', 'Thriller', 'Drama']",1994
9058,Only You,9/17/1994,"['Comedy', 'Drama', 'Romance']",1994
527,Once Were Warriors,9/2/1994,['Drama'],1994
18220,Poison Ivy II: Lily,1/16/1996,"['Drama', 'Romance', 'Thriller']",1996
6950,Outbreak,3/10/1995,"['Action', 'Drama', 'Science Fiction', 'Thriller']",1995
101,Leon: The Professional,9/14/1994,"['Thriller', 'Crime', 'Drama']",1994
63020,The Perez Family,5/12/1995,"['Comedy', 'Drama', 'Romance']",1995
2307,A Pyromaniac's Love Story,4/28/1995,"['Comedy', 'Drama', 'Romance']",1995
680,Pulp Fiction,9/10/1994,"['Thriller', 'Crime']",1994
41478,Panther,11/10/1995,['Drama'],1995
25296,Pushing Hands,2/1/1992,"['Comedy', 'Drama']",1992
40156,Priest,1/1/1994,"['Drama', 'Romance']",1994
11450,Quiz Show,9/16/1994,"['History', 'Drama']",1994
30304,Picture Bride,5/5/1995,"['Drama', 'History']",1995
10452,Queen Margot,5/13/1994,"['Drama', 'History']",1994
12106,The Quick and the Dead,2/9/1995,"['Action', 'Western']",1995
161495,Roommates,3/1/1995,"['Drama', 'Comedy']",1995
3586,Prêt-à-Porter,12/23/1994,"['Drama', 'Comedy']",1994
110,Three Colors: Red,5/27/1994,"['Drama', 'Mystery', 'Romance']",1994
108,Three Colors: Blue,1/10/1993,"['Drama', 'Music', 'Mystery']",1993
109,Three Colors: White,1/26/1994,"['Comedy', 'Drama', 'Mystery']",1994
159185,"Red Firecracker, Green Firecracker",10/14/1994,['Drama'],1994
36357,Rent-a-Kid,1/1/1995,"['Comedy', 'Family', 'TV Movie']",1995
92769,Relative Fear,10/3/1995,"['Horror', 'Drama']",1995
28033,Stuart Saves His Family,4/12/1995,"['Comedy', 'Drama']",1995
22586,The Swan Princess,11/18/1994,['Animation'],1994
14334,The Secret of Roan Inish,1/1/1994,"['Drama', 'Family', 'Fantasy']",1994
2636,The Specialist,10/7/1994,"['Action', 'Thriller']",1994
2164,Stargate,10/27/1994,"['Action', 'Adventure', 'Science Fiction']",1994
11395,The Santa Clause,11/10/1994,"['Fantasy', 'Drama', 'Comedy', 'Family']",1994
278,The Shawshank Redemption,9/23/1994,"['Drama', 'Crime']",1994
9905,Shallow Grave,12/22/1994,"['Crime', 'Thriller']",1994
87078,Suture,9/14/1993,"['Drama', 'Thriller']",1993
12527,Strawberry and Chocolate,1/1/1993,"['Comedy', 'Drama']",1993
20306,Swimming with Sharks,9/10/1994,"['Crime', 'Comedy']",1994
36614,The Sum of Us,7/12/1994,"['Comedy', 'Drama', 'Romance']",1994
27993,Senior Trip,9/8/1995,['Comedy'],1995
31439,To Live,6/30/1994,"['Drama', 'Romance', 'War']",1994
9067,Tank Girl,3/31/1995,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",1995
9059,Tales from the Crypt: Demon Knight,1/13/1995,"['Horror', 'Comedy', 'Thriller']",1995
193,Star Trek: Generations,11/17/1994,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1994
25066,Tales from the Hood,5/24/1995,"['Crime', 'Horror', 'Thriller']",1995
46797,Tom & Viv,4/15/1994,"['Drama', 'Romance']",1994
12122,Village of the Damned,4/28/1995,"['Thriller', 'Horror', 'Science Fiction']",1995
11381,Tommy Boy,3/31/1995,['Comedy'],1995
32636,Vanya on 42nd Street,9/13/1994,"['Drama', 'Romance']",1994
36141,The Underneath,4/28/1995,"['Thriller', 'Crime']",1995
95963,The Walking Dead,2/24/1995,"['Drama', 'War']",1995
1587,What's Eating Gilbert Grape,12/17/1993,"['Romance', 'Drama']",1993
9271,Virtuosity,8/4/1995,"['Action', 'Crime', 'Science Fiction', 'Thriller']",1995
2064,While You Were Sleeping,4/21/1995,"['Comedy', 'Drama', 'Romance']",1995
19855,The War,11/4/1994,['Drama'],1994
60855,Double Happiness,9/7/1994,"['Comedy', 'Romance']",1994
236,Muriel's Wedding,9/29/1994,"['Drama', 'Comedy', 'Romance']",1994
48287,The Baby-Sitters Club,8/18/1995,"['Comedy', 'Drama', 'Family']",1995
3049,Ace Ventura: Pet Detective,2/4/1994,"['Comedy', 'Mystery']",1994
2759,"The Adventures of Priscilla, Queen of the Desert",5/31/1994,"['Drama', 'Comedy']",1994
12635,Backbeat,4/1/1994,"['Drama', 'Music']",1994
10497,Bitter Moon,9/2/1992,"['Thriller', 'Drama', 'Romance']",1992
11382,Bullets Over Broadway,10/14/1994,"['Action', 'Comedy', 'Thriller']",1994
9331,Clear and Present Danger,8/3/1994,"['Action', 'Drama', 'Thriller']",1994
10731,The Client,7/20/1994,"['Drama', 'Thriller', 'Crime', 'Mystery']",1994
10464,"Corrina, Corrina",8/12/1994,"['Comedy', 'Drama', 'Family', 'Romance']",1994
34152,Crooklyn,5/13/1994,"['Comedy', 'Drama']",1994
9495,The Crow,5/11/1994,"['Fantasy', 'Action', 'Thriller']",1994
29973,Cobb,12/2/1994,['Drama'],1994
888,The Flintstones,5/26/1994,"['Fantasy', 'Comedy', 'Family']",1994
13,Forrest Gump,7/6/1994,"['Comedy', 'Drama', 'Romance']",1994
712,Four Weddings and a Funeral,3/9/1994,"['Comedy', 'Drama', 'Romance']",1994
16295,Higher Learning,1/11/1995,"['Romance', 'Drama', 'Crime']",1995
48992,I Like It Like That,10/14/1994,"['Comedy', 'Drama', 'Romance']",1994
10879,I Love Trouble,6/29/1994,"['Action', 'Comedy', 'Romance']",1994
10660,It Could Happen to You,7/29/1994,"['Comedy', 'Drama', 'Romance']",1994
10714,The Jungle Book,12/23/1994,"['Adventure', 'Drama', 'Family']",1994
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",9/11/1993,"['Documentary', 'Foreign']",1993
8587,The Lion King,6/23/1994,"['Family', 'Animation', 'Drama']",1994
1689,Little Buddha,12/1/1993,"['Drama', 'History']",1993
11596,New Nightmare,10/13/1994,"['Horror', 'Thriller', 'Mystery', 'Fantasy']",1994
854,The Mask,7/29/1994,"['Romance', 'Comedy', 'Crime', 'Fantasy']",1994
9359,Maverick,5/20/1994,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",1994
23333,Mrs. Parker and the Vicious Circle,9/7/1994,['Drama'],1994
36593,The Naked Gun 33⅓: The Final Insult,3/18/1994,"['Comedy', 'Crime']",1994
12280,The Paper,3/18/1994,"['Comedy', 'Drama']",1994
2788,Reality Bites,2/18/1994,['Drama'],1994
10427,Red Rock West,7/8/1993,"['Crime', 'Drama', 'Thriller']",1993
11011,Ri¢hie Ri¢h,12/19/1994,"['Comedy', 'Family']",1994
49803,Safe Passage,12/1/1994,['Drama'],1994
8987,The River Wild,9/30/1994,"['Action', 'Adventure', 'Crime', 'Thriller']",1994
